ghru_id,Sample collection date,Specimen type,Isolate type,AMK,AMP,FEP,CRO,CIP,COL,GEN,IPM,MEM,TZP,SXT,species,ST,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,virulence_score,rmpA2,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,O_locus
G2UKKS20015,15/09/2024,Blood,CARBA-S,R,R,S,S,R,S,I,S,S,S,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,AadA2*;Aac6-Ib,-,-,-,-,-,-,-,SulIII;SulI,-,-,DfrA12,-,-,-,-,-,SHV-11,-,-,-,GyrA-83I;ParC-80I,0,KL107,OL2α.1
G2UKKS20016,01/07/2024,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST111,ybt unknown,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL62,OL2α.2
G2UKKS20017,27/07/2024,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST20,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187,-,-,-,-,0,KL64,OL2α.1
G2UKKS20018,23/02/2025,Blood,CARBA-R,S,R,R,ND,R,S,S,R,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20019,24/02/2025,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,TEM-55*,-,CTX-M-15,-,OXA-48,SHV-67*,-,-,-,GyrA-83I;ParC-80I,2,KL27,OL2α.1
G2UKKS20020,25/02/2025,Blood,CARBA-S,S,R,R,R,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST13,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA;TetD,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,KL3,OL2α.2
G2UKKS20021,26/02/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST286-1LV,ybt 4; plasmid,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-77*,-,-,-,-,0,KL118,OL2α.1
G2UKKS20022,27/02/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST172-2LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,SHV-1,-,-,-,-,0,KL27,OL4
G2UKKS20023,28/02/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,S,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20024,01/03/2025,Blood,CARBA-S,ND,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST1496,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1*?,-,-,-,-,0,-,OL2α.1
G2UKKS20025,02/03/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,S,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20026,03/03/2025,Blood,CARBA-R,I,R,R,ND,R,S,S,R,R,R,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,Aac6-Ib;AadA2;Aph3-Ia*,-,-,-,-,MphA,CatA1*,-,SulI,-,-,DfrA12,-,TEM-54*,-,-,KPC-3,SHV-11,-,-,-,-,2,KL107,OL2α.1
G2UKKS20027,04/03/2025,Blood,CARBA-R,S,R,R,ND,R,S,S,I,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-54*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20028,05/03/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,R,R,Klebsiella pneumoniae,ST25,-,-,-,-,-,0,-,StrB;StrA,-,-,-,-,-,-,-,SulI;SulII,TetD,-,DfrA15b*,-,-,-,-,-,SHV-1?,-,-,-,GyrA-87G,0,KL2,OL2α.1
G2UKKS20029,06/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST17,ybt 15; ICEKp11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL25,OL5
G2UKKS20030,07/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST20,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,-,0,KL22/KL37,OL2α.1
G2UKKS20031,08/03/2025,Blood,CARBA-R,S,R,R,R,R,S,R,R,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-54*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20032,09/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST36,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-13*,-,-,SHV-1*?,-,-,-,-,1,KL157,OL2α.1
G2UKKS20033,10/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST17,ybt 15; ICEKp11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL25,OL5
G2UKKS20034,11/03/2025,Blood,CARBA-R,S,R,R,R,R,S,S,R,R,R,S,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,DfrA14,-,-,-,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20035,12/03/2025,Blood,CARBA-S,R,R,R,ND,R,S,R,S,ND,S,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,Aac6-Ib;StrB;StrA*;Aac3-IIa*;Aac6-Ib*?,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,1,KL27,OL4
G2UKKS20036,13/03/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST277,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27*,-,-,SHV-1*?,-,-,-,-,1,KL46,OL2α.1
G2UKKS20037,14/03/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST42-1LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,SHV-1*?,-,-,-,-,0,KL64,OL2α.1
G2UKKS20038,15/03/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,I,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrA*;Aph3-Ia*;AadA2*;Aac3-IIa*,-,-,QnrB1?;Qnr-S1,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,TEM-54*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20039,16/03/2025,Blood,CARBA-R,R,R,R,ND,R,S,S,R,ND,R,R,Klebsiella pneumoniae,ST512,-,-,-,-,-,0,-,Aac6-Ib;AadA2*;Aph3-Ia*,-,-,-,-,MphA,CatA1*,-,SulI,-,-,DfrA12,-,TEM-54*,-,-,KPC-3,SHV-11,-,-,-,GyrA-83I;ParC-80I,2,KL107,OL2α.1
G2UKKS20040,17/03/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,I,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,KL24,OL2α.1
G2UKKS20041,18/03/2025,Blood,CARBA-S,R,R,S,ND,R,S,R,S,ND,R,S,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,ArmA;StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,MsrE;MphE*,-,-,SulII,TetA,-,-,-,TEM-30*,-,-,-,SHV-1?,-,-,-,-,0,KL24,OL2α.1
G2UKKS20042,19/03/2025,Blood,CARBA-S,I,R,R,ND,R,S,S,S,ND,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,OXA-48,SHV-1?,-,-,-,-,2,KL24,OL2α.1
G2UKKS20043,20/03/2025,Blood,CARBA-S,S,R,R,S,R,S,S,S,S,R,S,Klebsiella pneumoniae,ST240,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,-,-,-,GyrA-83L,0,KL61,OL2α.1
G2UKKS20044,21/03/2025,Blood,CARBA-S,S,R,S,S,R,S,S,S,S,R,S,Klebsiella pneumoniae,ST240,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,-,-,-,GyrA-83L,0,KL61,OL2α.1
G2UKKS20045,22/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST461,-,-,-,-,-,0,-,StrB;StrA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL10,OL2α.1
G2UKKS20046,23/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST461,-,-,-,-,-,0,-,StrB;StrA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL10,OL2α.1
G2UKKS20047,24/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST20,ybt 14; ICEKp5,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187,-,-,-,-,0,KL28,OL2α.1
G2UKKS20048,25/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST54,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36*,-,-,-,-,0,KL14,OL2α.1
G2UKKS20049,26/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,R,R,Klebsiella pneumoniae,ST1527,-,-,-,-,-,0,-,Aph3-Ia*?;StrB;StrA*,-,-,-,-,MphA;ErmB*,-,-,SulI?;SulII,-,-,DfrA14,-,TEM-30*,-,-,-,SHV-187*,-,-,-,-,0,KL30,OL2α.2
G2UKKS20050,27/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST29,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL30,OL2α.2
G2UKKS20051,28/03/2025,Blood,CARBA-S,S,R,S,S,R,S,S,S,S,S,S,Klebsiella pneumoniae,ST253,-,-,-,-,-,0,-,-,-,-,Qnr-S1,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,-,-,-,-,0,KL144,OL2α.1
G2UKKS20052,29/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,R,Klebsiella pneumoniae,ST219,-,-,-,-,-,0,-,AadA2*,-,-,-,-,MphA,-,-,SulI,-,-,DfrA12,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL121,OL2α.1
G2UKKS20053,30/03/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST17,ybt 15; ICEKp11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187*,-,-,-,-,0,KL25,OL2α.1
G2UKKS20054,31/03/2025,Blood,CARBA-S,S,R,R,ND,R,S,S,S,S,S,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*,-,-,QnrB1?,-,-,-,-,SulII,-,-,DfrA14,-,-,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20055,01/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,I,R,Klebsiella pneumoniae,ST628,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-26*,-,-,-,-,1,KL?,OL2α.1
G2UKKS20056,02/04/2025,Blood,CARBA-S,S,R,S,ND,R,S,S,S,S,S,S,Klebsiella pneumoniae,ST101,ybt 9; ICEKp3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-28*,-,-,-,GyrA-83Y;GyrA-87N;ParC-80I,0,KL17,OL2α.1
G2UKKS20057,03/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20058,04/04/2025,Blood,CARBA-S,S,R,S,ND,I,S,S,S,ND,S,S,Klebsiella pneumoniae,ST17-3LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26*,-,-,-,SHV-1*?,-,-,-,GyrA-83F,0,-,OL2α.1
G2UKKS20059,05/04/2025,Blood,CARBA-S,R,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,ArmA;StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,MsrE;MphE*,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,KL24,OL2α.1
G2UKKS20060,06/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,1,KL27,OL4
G2UKKS20061,07/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,ND,R,R,Klebsiella pneumoniae,ST392,-,-,-,-,-,0,-,-,-,-,QnrB1?,-,-,CatB4,-,-,-,-,DfrA14,-,-,-,-,-,SHV-67*,-,-,-,GyrA-83I;ParC-80I,0,KL27,OL4
G2UKKS20062,08/04/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST277,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27*,-,-,SHV-1*?,-,-,-,-,1,KL46,OL2α.1
G2UKKS20063,09/04/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,ND,S,S,Klebsiella pneumoniae,ST370,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-172*,-,-,-,-,0,-,OL2α.1
G2UKKS20064,10/04/2025,Blood,CARBA-S,I,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST45,ybt 10; ICEKp4,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,TEM-30*,CTX-M-15,-,-,SHV-1?,-,-,-,-,1,KL24,OL2α.1
G2UKKS20065,11/04/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST225,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27,-,-,SHV-1*?,-,-,-,-,1,KL3,OL2α.2
G2UKKS20066,12/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST307,-,-,-,-,-,0,-,StrB;StrA*;AadA2*;Aac3-IIa*;Aph3-Ia*,-,-,QnrB1?;Qnr-S1,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA12;DfrA14,-,-,CTX-M-15,-,-,SHV-28*,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20067,13/04/2025,Blood,CARBA-S,S,R,S,ND,R,S,S,S,S,S,S,Klebsiella pneumoniae,ST2151-1LV,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-193*,-,-,-,GyrA-87N,0,KL122,OL2α.1
G2UKKS20068,14/04/2025,Blood,CARBA-S,S,R,R,ND,R,S,R,S,S,R,R,Klebsiella pneumoniae,ST307-1LV,-,-,-,-,-,0,-,StrB;StrA*;AadA2*;Aac3-IIa*;Aph3-Ia*,-,-,QnrB1?;Qnr-S1,-,MphA,CatB4,-,SulII;SulI,TetA,-,DfrA14;DfrA12,-,TEM-54*,SHV-12*;CTX-M-15,-,-,SHV-1?,-,-,-,GyrA-83I;ParC-80I,1,"KL102 (KL149,KL155)",OL2α.2
G2UKKS20069,15/04/2025,Blood,CARBA-S,S,R,I,ND,R,S,R,S,S,I,S,Klebsiella pneumoniae,ST11,-,-,-,-,-,0,-,Aph4-Ia;Aac3-Iva*?;Aph3-Ia*,-,FosA,QnrB4,-,MphA,CatB3*;FloR*,Arr3,SulI;SulI;SulII,TetA*,-,-,-,-,CTX-M-65,-,-,SHV-11,-,-,-,GyrA-83I;ParC-80I,1,-,OL2α.1
G2UKKS20070,16/04/2025,Blood,CARBA-S,S,R,S,ND,S,S,S,S,S,S,S,Klebsiella pneumoniae,ST193,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-61,-,-,-,-,0,-,OL2α.1
G2UKKS20071,17/04/2025,Blood,CARBA-R,S,R,R,ND,R,S,R,R,R,R,R,Klebsiella pneumoniae,ST307,ybt 9; ICEKp3,-,-,-,-,1,-,StrB;StrA*;Aac3-IIa*,-,-,QnrB1?,-,-,CatB4,-,SulII,-,-,DfrA14,-,TEM-79*,CTX-M-15,-,KPC-2,SHV-28*,-,-,-,GyrA-83I;ParC-80I,2,"KL102 (KL149,KL155)",OL2α.1
G2UKKS20072,18/04/2025,Blood,CARBA-R,R,R,R,R,R,S,R,R,R,R,S,Klebsiella pneumoniae,ST101,ybt 9; ICEKp3,-,-,-,-,1,-,ArmA,-,-,-,-,MsrE;MphE*,-,-,-,-,-,-,-,TEM-54*,-,-,KPC-2,SHV-28*,-,-,-,GyrA-83Y;GyrA-87N;ParC-80I,2,KL17,OL2α.1
G2UKKS20073,19/04/2025,Blood,CARBA-S,S,R,S,ND,R,S,R,S,ND,S,R,Klebsiella pneumoniae,ST147,-,-,-,-,-,0,-,Aac3-IId*;StrB;StrA*;AadA1-pm*?;Aac6-Ib*,-,-,-,-,-,-,-,SulII,TetD,-,DfrA14,-,TEM-30*,-,-,-,SHV-1*?,-,-,-,GyrA-83I;ParC-80I,0,KL64,OL2α.1
G2UKKS20074,20/04/2025,Blood,CARBA-S,S,R,S,S,S,S,S,S,S,R,R,Klebsiella pneumoniae,ST101,-,-,-,-,-,0,-,AadA16*,-,-,-,-,-,FloR*,Arr3,SulI,TetD*,-,DfrA27,-,-,-,-,-,SHV-1?,-,-,-,-,0,KL106,OL2α.2
